x-axis,1,2,F1
second,Volt,Volt,Volt
-3.555000E-03,+168.844219E-03,-112.933918E-03,+279.578845E-03
-3.550000E-03,+160.804018E-03,-115.587185E-03,+267.487048E-03
-3.545000E-03,+144.723617E-03,-117.577134E-03,+252.752673E-03
-3.540000E-03,+128.643215E-03,-118.240451E-03,+239.339586E-03
-3.535000E-03,+112.562813E-03,-125.536933E-03,+233.954332E-03
-3.530000E-03,+100.502511E-03,-126.200250E-03,+219.219957E-03
-3.525000E-03,+82.412059E-03,-128.190200E-03,+204.485582E-03
-3.520000E-03,+64.321607E-03,-126.200250E-03,+191.072495E-03
-3.515000E-03,+46.231155E-03,-129.516833E-03,+175.652451E-03
-3.510000E-03,+36.180904E-03,-130.180149E-03,+161.603744E-03
-3.505000E-03,+24.120603E-03,-131.506782E-03,+146.208725E-03
-3.500000E-03,+8.040201E-03,-131.506782E-03,+132.134994E-03
-3.495000E-03,-16.080402E-03,-134.823365E-03,+116.739974E-03
-3.490000E-03,-24.120603E-03,-135.486682E-03,+102.666243E-03
-3.485000E-03,-44.221105E-03,-138.803265E-03,+97.280989E-03
-3.480000E-03,-56.281406E-03,-136.813315E-03,+81.225324E-03
-3.475000E-03,-74.371858E-03,-137.476632E-03,+59.148786E-03
-3.470000E-03,-88.442210E-03,-138.139948E-03,+49.113995E-03
-3.465000E-03,-104.522612E-03,-137.476632E-03,+33.058331E-03
-3.460000E-03,-120.603014E-03,-139.466581E-03,+17.002666E-03
-3.455000E-03,-130.653265E-03,-139.466581E-03,+947.002E-06
-3.450000E-03,-144.723617E-03,-140.793215E-03,-11.094747E-03
-3.445000E-03,-162.814069E-03,-137.476632E-03,-28.496725E-03
-3.440000E-03,-176.884420E-03,-139.466581E-03,-39.192160E-03
-3.435000E-03,-184.924621E-03,-137.476632E-03,-55.247824E-03
-3.430000E-03,-209.045224E-03,-138.139948E-03,-71.303489E-03
-3.425000E-03,-223.115575E-03,-139.466581E-03,-87.359153E-03
-3.420000E-03,-241.206028E-03,-136.813315E-03,-103.414818E-03
-3.415000E-03,-255.276379E-03,-136.813315E-03,-122.113060E-03
-3.410000E-03,-265.326630E-03,-134.160049E-03,-130.140893E-03
-3.405000E-03,-275.376881E-03,-134.160049E-03,-148.839135E-03
-3.400000E-03,-281.407032E-03,-131.506782E-03,-156.866967E-03
-3.395000E-03,-299.497484E-03,-129.516833E-03,-176.225855E-03
-3.390000E-03,-309.547735E-03,-130.180149E-03,-183.593042E-03
-3.385000E-03,-329.648238E-03,-126.200250E-03,-204.273219E-03
-3.380000E-03,-345.728640E-03,-126.200250E-03,-220.989528E-03
-3.375000E-03,-353.768840E-03,-122.883667E-03,-231.659938E-03
-3.370000E-03,-361.809041E-03,-122.220350E-03,-245.022976E-03
-3.365000E-03,-367.839192E-03,-118.903768E-03,-259.021633E-03
-3.360000E-03,-385.929644E-03,-120.893717E-03,-269.056424E-03
-3.355000E-03,-393.969845E-03,-114.923868E-03,-279.726834E-03
-3.350000E-03,-402.010046E-03,-111.607285E-03,-290.397245E-03
-3.345000E-03,-412.060297E-03,-110.280652E-03,-309.095487E-03
